x,y,z
6.059356033802032471e-02,1.647757738828659058e-01,4.107007682323455811e-01
1.999534368515014648e-01,1.159789189696311951e-01,1.142252758145332336e-01
3.090765699744224548e-02,-6.542974710464477539e-02,2.906662598252296448e-02
2.832275256514549255e-02,-6.820110976696014404e-02,2.431770414113998413e-02
2.841401658952236176e-02,-6.872735917568206787e-02,2.370857819914817810e-02
2.863750979304313660e-02,-6.934225559234619141e-02,2.284302562475204468e-02
2.897087857127189636e-02,-6.994386762380599976e-02,2.181695774197578430e-02
2.941366285085678101e-02,-7.057369500398635864e-02,2.061172761023044586e-02
2.995443344116210938e-02,-7.120028138160705566e-02,1.927138864994049072e-02
3.059211187064647675e-02,-7.182542234659194946e-02,1.780094206333160400e-02
3.059211187064647675e-02,-7.182542234659194946e-02,1.780094206333160400e-02
1.096884720027446747e-02,-7.082091271877288818e-02,1.328977495431900024e-01
1.357751712203025818e-02,-6.965323537588119507e-02,1.422927677631378174e-01
1.392947509884834290e-02,-6.787624955177307129e-02,1.420598775148391724e-01
1.398430392146110535e-02,-6.699990481138229370e-02,1.416752934455871582e-01
1.390298642218112946e-02,-6.662215292453765869e-02,1.412683725357055664e-01
1.378795690834522247e-02,-6.637831032276153564e-02,1.408577412366867065e-01
1.366359088569879532e-02,-6.628072261810302734e-02,1.405059546232223511e-01
1.371782086789608002e-02,-6.617750972509384155e-02,1.405483484268188477e-01
1.378769893199205399e-02,-6.597038358449935913e-02,1.405651271343231201e-01
1.378769893199205399e-02,-6.597038358449935913e-02,1.405651271343231201e-01
-3.312394767999649048e-02,-6.023307517170906067e-02,1.660164594650268555e-01
-4.828772693872451782e-02,-4.739439114928245544e-02,8.480949699878692627e-02
-3.605788201093673706e-02,-9.613054990768432617e-02,-9.014580398797988892e-03
-3.792572766542434692e-02,-9.234476089477539062e-02,-8.089806884527206421e-03
-3.826769813895225525e-02,-9.303400665521621704e-02,-7.905553095042705536e-03
-3.789392113685607910e-02,-9.251966327428817749e-02,-9.183073416352272034e-03
-3.745834529399871826e-02,-9.275787323713302612e-02,-1.017078012228012085e-02
-3.793505951762199402e-02,-9.330675005912780762e-02,-8.381119929254055023e-03
-3.725441172719001770e-02,-9.413793683052062988e-02,-1.098156999796628952e-02
-3.725441172719001770e-02,-9.413793683052062988e-02,-1.098156999796628952e-02
-4.958074539899826050e-02,-4.919818788766860962e-02,1.220532953739166260e-01
-4.522175714373588562e-02,-6.585347652435302734e-02,1.086645722389221191e-01
-1.964160241186618805e-02,-1.611091643571853638e-01,6.810819357633590698e-02
8.907525800168514252e-03,-2.675295770168304443e-01,9.277576953172683716e-02
2.853927947580814362e-02,-3.407269120216369629e-01,1.805590242147445679e-01
3.063212148845195770e-02,-3.484970927238464355e-01,2.916432917118072510e-01
1.503610517829656601e-02,-2.902761399745941162e-01,3.876532614231109619e-01
-1.239247247576713562e-02,-1.879236549139022827e-01,4.289108216762542725e-01
-4.076398536562919617e-02,-8.206330984830856323e-02,3.986891508102416992e-01
-4.076398536562919617e-02,-8.206330984830856323e-02,3.986891508102416992e-01
-4.591640830039978027e-02,-6.284392625093460083e-02,4.894809424877166748e-01
-1.481410209089517593e-02,-1.788938939571380615e-01,4.755606949329376221e-01
5.039544310420751572e-03,-2.529139816761016846e-01,3.432024121284484863e-01
4.718228708952665329e-03,-2.516869008541107178e-01,3.026017248630523682e-01
3.164397785440087318e-03,-2.458939403295516968e-01,3.773055672645568848e-01
-1.222674734890460968e-02,-1.884809434413909912e-01,4.664486646652221680e-01
-3.948954120278358459e-02,-8.680106699466705322e-02,5.066643357276916504e-01
-6.780647486448287964e-02,1.884702965617179871e-02,4.762088954448699951e-01
-8.580044656991958618e-02,8.600237220525741577e-02,3.864691257476806641e-01
-8.580044656991958618e-02,8.600237220525741577e-02,3.864691257476806641e-01
-1.039494499564170837e-01,1.538064926862716675e-01,4.475104808807373047e-01
-7.680565118789672852e-02,5.249059200286865234e-02,5.081003904342651367e-01
-4.040120169520378113e-02,-8.341568708419799805e-02,4.471381306648254395e-01
-3.380010649561882019e-02,-1.080684438347816467e-01,4.089729785919189453e-01
-4.717013239860534668e-02,-5.817239731550216675e-02,4.702694118022918701e-01
-7.351978868246078491e-02,4.018152132630348206e-02,5.066960453987121582e-01
-1.015868559479713440e-01,1.449576169252395630e-01,4.758104383945465088e-01
-1.194880455732345581e-01,2.117964774370193481e-01,3.859893381595611572e-01
-1.199671849608421326e-01,2.136004269123077393e-01,2.726683616638183594e-01
-1.199671849608421326e-01,2.136004269123077393e-01,2.726683616638183594e-01
-1.403174698352813721e-01,2.895163297653198242e-01,2.857252061367034912e-01
-1.315555274486541748e-01,2.567788362503051758e-01,3.911625146865844727e-01
-9.286338090896606445e-02,1.123806312680244446e-01,4.260382056236267090e-01
-8.182310312986373901e-02,7.117353379726409912e-02,4.108377993106842041e-01
-1.027708724141120911e-01,1.493515968322753906e-01,4.290490150451660156e-01
-1.289236396551132202e-01,2.469541281461715698e-01,3.969775438308715820e-01
-1.465104520320892334e-01,3.125795423984527588e-01,3.075819313526153564e-01
-1.469290703535079956e-01,3.141313195228576660e-01,1.944566220045089722e-01
-1.297848522663116455e-01,2.501433491706848145e-01,1.026630923151969910e-01
-1.297848522663116455e-01,2.501433491706848145e-01,1.026630923151969910e-01
-1.501785665750503540e-01,3.262301981449127197e-01,5.315823107957839966e-02
-1.574004739522933960e-01,3.531731367111206055e-01,1.711157709360122681e-01
-1.317403167486190796e-01,2.574357092380523682e-01,2.882815599441528320e-01
-1.205834224820137024e-01,2.158100754022598267e-01,3.014804124832153320e-01
-1.396441161632537842e-01,2.869426906108856201e-01,2.692770063877105713e-01
-1.561585068702697754e-01,3.485582768917083740e-01,1.820481717586517334e-01
-1.564784497022628784e-01,3.497290611267089844e-01,6.957380473613739014e-02
-1.410784423351287842e-01,2.940354645252227783e-01,-8.455157279968261719e-03
-1.213382631540298462e-01,2.311765849590301514e-01,-1.221354398876428604e-02
-1.213382631540298462e-01,2.311765849590301514e-01,-1.221354398876428604e-02
-1.383289098739624023e-01,2.928032577037811279e-01,-2.088243328034877777e-02
-1.475051939487457275e-01,3.415278196334838867e-01,2.421550638973712921e-02
-1.475021839141845703e-01,3.415659368038177490e-01,2.426721714437007904e-02
-1.474822312593460083e-01,3.415852189064025879e-01,2.433068491518497467e-02
-1.471951454877853394e-01,3.416717648506164551e-01,2.441781014204025269e-02
-1.464074552059173584e-01,3.418985307216644287e-01,2.463981509208679199e-02
-1.466019451618194580e-01,3.403593301773071289e-01,2.201852388679981232e-02
-1.386466920375823975e-01,2.989329099655151367e-01,-4.645740613341331482e-03
-1.192739009857177734e-01,2.309939116239547729e-01,-1.671855454333126545e-03
-1.192739009857177734e-01,2.309939116239547729e-01,-1.671855454333126545e-03
-1.440067887306213379e-01,3.026957511901855469e-01,-1.342237554490566254e-02
-1.532078087329864502e-01,3.402280807495117188e-01,2.421898581087589264e-02
-1.531035006046295166e-01,3.402856588363647461e-01,2.429817430675029755e-02
-1.526837497949600220e-01,3.404149711132049561e-01,2.436223626136779785e-02
-1.518987566232681274e-01,3.406364321708679199e-01,2.440757490694522858e-02
-1.505927443504333496e-01,3.410316109657287598e-01,2.466548047959804535e-02
-1.508237123489379883e-01,3.394554257392883301e-01,2.193449810147285461e-02
-1.376122832298278809e-01,2.989058196544647217e-01,-5.771755240857601166e-03
-1.187295392155647278e-01,2.310793846845626831e-01,-4.456587135791778564e-03
-1.187295392155647278e-01,2.310793846845626831e-01,-4.456587135791778564e-03
-2.351871877908706665e-01,1.665553748607635498e-01,3.604274094104766846e-01
1.014260873198509216e-01,-1.609359979629516602e-01,4.690115153789520264e-01
2.058633714914321899e-01,-2.405657470226287842e-01,4.141135141253471375e-02
1.493273377418518066e-01,-1.958923935890197754e-01,-4.509081691503524780e-02
1.966016888618469238e-01,-2.300401329994201660e-01,-4.770895838737487793e-02
2.291435450315475464e-01,-2.567846477031707764e-01,-4.748189076781272888e-02
2.421820163726806641e-01,-2.696493268013000488e-01,-1.701417146250605583e-03
2.330788671970367432e-01,-2.613495886325836182e-01,1.019895076751708984e-01
1.745299845933914185e-01,-2.152452319860458374e-01,1.851098537445068359e-01
1.745299845933914185e-01,-2.152452319860458374e-01,1.851098537445068359e-01
2.415732145309448242e-01,-2.685479819774627686e-01,5.712133646011352539e-02
2.396577745676040649e-01,-2.691955566406250000e-01,-1.464827917516231537e-02
1.598307490348815918e-01,-1.985630095005035400e-01,-4.348089173436164856e-02
1.438124477863311768e-01,-1.882904320955276489e-01,-4.623761400580406189e-02
1.947924643754959106e-01,-2.288510799407958984e-01,-4.723772779107093811e-02
2.286129295825958252e-01,-2.584559619426727295e-01,-3.944725915789604187e-02
2.394168227910995483e-01,-2.705379426479339600e-01,-6.774352863430976868e-03
2.331908047199249268e-01,-2.641513347625732422e-01,9.005609899759292603e-02
1.815201342105865479e-01,-2.227531224489212036e-01,1.761970967054367065e-01
1.815201342105865479e-01,-2.227531224489212036e-01,1.761970967054367065e-01
2.535409629344940186e-01,-2.781392335891723633e-01,1.683036237955093384e-01
2.481550425291061401e-01,-2.736052572727203369e-01,3.329084441065788269e-02
1.689127087593078613e-01,-2.067231684923171997e-01,-2.647748589515686035e-02
1.602944433689117432e-01,-1.988606601953506470e-01,-2.731752395629882812e-02
2.099202275276184082e-01,-2.411027848720550537e-01,-9.597783908247947693e-03
2.556326985359191895e-01,-2.793614566326141357e-01,5.876403301954269409e-02
2.615942358970642090e-01,-2.842180132865905762e-01,1.675325036048889160e-01
2.143997102975845337e-01,-2.468557357788085938e-01,2.632060945034027100e-01
1.313414871692657471e-01,-1.811471432447433472e-01,3.044794499874114990e-01
1.313414871692657471e-01,-1.811471432447433472e-01,3.044794499874114990e-01
1.613658666610717773e-01,-2.048675417900085449e-01,3.891116082668304443e-01
2.304078787565231323e-01,-2.594462037086486816e-01,3.063028156757354736e-01
2.168690562248229980e-01,-2.487436830997467041e-01,1.546923369169235229e-01
1.932434737682342529e-01,-2.300669550895690918e-01,1.181316673755645752e-01
2.276466786861419678e-01,-2.572679221630096436e-01,1.846628189086914062e-01
2.325411289930343628e-01,-2.611326575279235840e-01,2.923657596111297607e-01
1.853259205818176270e-01,-2.237964123487472534e-01,3.877340257167816162e-01
1.022595912218093872e-01,-1.581213176250457764e-01,4.289121031761169434e-01
1.630449667572975159e-02,-9.016513824462890625e-02,3.986867964267730713e-01
1.630449667572975159e-02,-9.016513824462890625e-02,3.986867964267730713e-01
6.950281094759702682e-04,-7.782612740993499756e-02,4.894802272319793701e-01
9.494362026453018188e-02,-1.523397117853164673e-01,4.755622744560241699e-01
1.550721526145935059e-01,-1.998584270477294922e-01,3.432051539421081543e-01
1.532604247331619263e-01,-1.984209269285202026e-01,2.964678704738616943e-01
1.496101319789886475e-01,-1.955331861972808838e-01,3.762155771255493164e-01
1.028612032532691956e-01,-1.585775464773178101e-01,4.663273692131042480e-01
2.018398791551589966e-02,-9.322676807641983032e-02,5.066629052162170410e-01
-6.564010679721832275e-02,-2.537653408944606781e-02,4.762121140956878662e-01
-1.201794147491455078e-01,1.774782501161098480e-02,3.864698708057403564e-01
-1.201794147491455078e-01,1.774782501161098480e-02,3.864698708057403564e-01
-1.752268373966217041e-01,6.129709258675575256e-02,4.475110173225402832e-01
-9.295225888490676880e-02,-3.761707572266459465e-03,5.081004500389099121e-01
1.753561384975910187e-02,-9.113854914903640747e-02,4.469589889049530029e-01
3.744286298751831055e-02,-1.068845912814140320e-01,4.089234471321105957e-01
-3.092021914198994637e-03,-7.483427226543426514e-02,4.702637195587158203e-01
-8.296536654233932495e-02,-1.167351566255092621e-02,5.066959857940673828e-01
-1.680477559566497803e-01,5.561020970344543457e-02,4.758105576038360596e-01
-2.223202586174011230e-01,9.853342920541763306e-02,3.859893977642059326e-01
-2.237818390130996704e-01,9.969431161880493164e-02,2.726683616638183594e-01
-2.237818390130996704e-01,9.969431161880493164e-02,2.726683616638183594e-01
-2.965498566627502441e-01,1.572153568267822266e-01,2.798965871334075928e-01
-2.588614821434020996e-01,1.274086087942123413e-01,3.911625146865844727e-01
-1.607446223497390747e-01,4.983030632138252258e-02,4.297417402267456055e-01
-1.122410222887992859e-01,1.147642452269792557e-02,4.133797287940979004e-01
-1.702810823917388916e-01,5.736797675490379333e-02,4.290683865547180176e-01
-2.506956756114959717e-01,1.209511831402778625e-01,3.971439301967620850e-01
-3.041605055332183838e-01,1.632224917411804199e-01,3.076496124267578125e-01
-3.054442703723907471e-01,1.642341017723083496e-01,1.944676786661148071e-01
-2.534800171852111816e-01,1.231445148587226868e-01,1.026642397046089172e-01
-2.534800171852111816e-01,1.231445148587226868e-01,1.026642397046089172e-01
-3.152734935283660889e-01,1.719966381788253784e-01,5.315921455621719360e-02
-3.371548354625701904e-01,1.892949789762496948e-01,1.711168885231018066e-01
-2.594012022018432617e-01,1.278245449066162109e-01,2.882820367813110352e-01
-2.256847470998764038e-01,1.011690646409988403e-01,3.014685809612274170e-01
-2.833745777606964111e-01,1.467833817005157471e-01,2.692669630050659180e-01
-3.334038555622100830e-01,1.863357871770858765e-01,1.820453256368637085e-01
-3.343586325645446777e-01,1.870830506086349487e-01,6.957319378852844238e-02
-2.889016568660736084e-01,1.510879695415496826e-01,-8.636139333248138428e-03
-2.288613170385360718e-01,1.007510125637054443e-01,-2.454441227018833160e-02
-2.288613170385360718e-01,1.007510125637054443e-01,-2.454441227018833160e-02
-2.954464852809906006e-01,1.577605009078979492e-01,-1.009408570826053619e-02
-3.138337731361389160e-01,1.716254800558090210e-01,-1.119162770919501781e-03
-3.165578544139862061e-01,1.736164391040802002e-01,3.595480462536215782e-03
-3.261093795299530029e-01,1.814781874418258667e-01,2.448552288115024567e-02
-3.255721926689147949e-01,1.823718696832656860e-01,2.476667799055576324e-02
-3.257098495960235596e-01,1.827373057603836060e-01,2.551362663507461548e-02
-3.234900832176208496e-01,1.812219172716140747e-01,2.031137607991695404e-02
-2.897411584854125977e-01,1.518952250480651855e-01,-9.897699579596519470e-03
-2.210006266832351685e-01,9.362941235303878784e-02,-4.002268612384796143e-02
-2.210006266832351685e-01,9.362941235303878784e-02,-4.002268612384796143e-02
-2.951387166976928711e-01,1.553528755903244019e-01,-1.752372644841670990e-02
-3.145723044872283936e-01,1.706918478012084961e-01,-1.071833539754152298e-03
-3.145878612995147705e-01,1.706811487674713135e-01,-1.084238872863352299e-03
-3.146008253097534180e-01,1.706527620553970337e-01,-1.079492736607789993e-03
-3.146128356456756592e-01,1.706124246120452881e-01,-1.072529237717390060e-03
-3.145759999752044678e-01,1.706070601940155029e-01,-1.072036800906062126e-03
-3.145439326763153076e-01,1.705357730388641357e-01,-1.159756910055875778e-03
-2.889058589935302734e-01,1.483937352895736694e-01,-1.172603480517864227e-02
-2.190769761800765991e-01,9.136737883090972900e-02,-4.369403794407844543e-02
-2.190769761800765991e-01,9.136737883090972900e-02,-4.369403794407844543e-02
-3.244521021842956543e-01,-4.287400282919406891e-03,3.026410043239593506e-01
1.104399040341377258e-01,-6.707523018121719360e-02,4.978300333023071289e-01
3.231537640094757080e-01,-7.154985517263412476e-02,9.993956983089447021e-02
2.368660420179367065e-01,-6.379405409097671509e-02,-5.787360295653343201e-02
2.897209525108337402e-01,-7.157956063747406006e-02,-4.778225347399711609e-02
3.351601362228393555e-01,-7.480234652757644653e-02,-4.971031099557876587e-02
3.550460338592529297e-01,-7.361713051795959473e-02,-3.762610023841261864e-03
3.427100181579589844e-01,-7.193202525377273560e-02,1.021360084414482117e-01
2.673787772655487061e-01,-6.934749335050582886e-02,1.855375766754150391e-01
2.673787772655487061e-01,-6.934749335050582886e-02,1.855375766754150391e-01
3.538291156291961670e-01,-7.123125344514846802e-02,5.604453012347221375e-02
3.546145558357238770e-01,-7.291550934314727783e-02,-2.954280236735939980e-03
2.653428912162780762e-01,-6.533404439687728882e-02,-4.801554605364799500e-02
2.278442829847335815e-01,-6.479236483573913574e-02,-6.367982923984527588e-02
2.805618345737457275e-01,-7.097434997558593750e-02,-5.977166444063186646e-02
3.358989357948303223e-01,-7.349632680416107178e-02,-4.276538267731666565e-02
3.532388508319854736e-01,-7.628930360078811646e-02,-5.924330092966556549e-03
3.403781652450561523e-01,-7.266034185886383057e-02,1.021915525197982788e-01
2.705845832824707031e-01,-6.959474831819534302e-02,1.816571503877639771e-01
2.705845832824707031e-01,-6.959474831819534302e-02,1.816571503877639771e-01
3.684800565242767334e-01,-7.155236601829528809e-02,1.739137917757034302e-01
3.635989725589752197e-01,-7.129018008708953857e-02,3.581797331571578979e-02
2.633148133754730225e-01,-6.761407107114791870e-02,-2.622567489743232727e-02
2.398104667663574219e-01,-6.455819308757781982e-02,-3.792678937315940857e-02
3.053166568279266357e-01,-6.645562499761581421e-02,-2.073406055569648743e-02
3.712208569049835205e-01,-7.101686298847198486e-02,5.618234723806381226e-02
3.796074688434600830e-01,-7.170806825160980225e-02,1.670874059200286865e-01
3.194201290607452393e-01,-6.996912509202957153e-02,2.631467580795288086e-01
2.135326862335205078e-01,-6.687051057815551758e-02,3.044737875461578369e-01
2.135326862335205078e-01,-6.687051057815551758e-02,3.044737875461578369e-01
2.517743408679962158e-01,-6.796969473361968994e-02,3.891105055809020996e-01
3.397455811500549316e-01,-7.051974534988403320e-02,3.063032031059265137e-01
3.224951624870300293e-01,-7.002004235982894897e-02,1.546931266784667969e-01
2.923912405967712402e-01,-6.914698332548141479e-02,1.181318536400794983e-01
3.362299799919128418e-01,-7.042159885168075562e-02,1.846628934144973755e-01
3.424629271030426025e-01,-7.059876620769500732e-02,2.923692464828491211e-01
2.822952866554260254e-01,-6.884509325027465820e-02,3.877343833446502686e-01
1.737442463636398315e-01,-6.569048017263412476e-02,4.290361106395721436e-01
6.653881072998046875e-02,-6.257658451795578003e-02,3.984325528144836426e-01
6.653881072998046875e-02,-6.257658451795578003e-02,3.984325528144836426e-01
4.671002924442291260e-02,-6.200205534696578979e-02,4.893983006477355957e-01
1.668524891138076782e-01,-6.549188494682312012e-02,4.757421612739562988e-01
2.437035888433456421e-01,-6.770899891853332520e-02,3.435166776180267334e-01
2.414340674877166748e-01,-6.763902306556701660e-02,2.965396642684936523e-01
2.367662638425827026e-01,-6.750202178955078125e-02,3.762274682521820068e-01
1.772013157606124878e-01,-6.577523797750473022e-02,4.663286805152893066e-01
7.186054438352584839e-02,-6.272672116756439209e-02,5.066629052162170410e-01
-3.749801963567733765e-02,-5.955243855714797974e-02,4.762121140956878662e-01
-1.069961041212081909e-01,-5.752963945269584656e-02,3.864732384681701660e-01
-1.069961041212081909e-01,-5.752963945269584656e-02,3.864732384681701660e-01
-1.771562099456787109e-01,-5.546940863132476807e-02,4.475131034851074219e-01
-7.231046259403228760e-02,-5.852425098419189453e-02,5.081006288528442383e-01
6.832593679428100586e-02,-6.262823939323425293e-02,4.471357464790344238e-01
9.383444488048553467e-02,-6.337503343820571899e-02,4.089723229408264160e-01
4.219974949955940247e-02,-6.187274679541587830e-02,4.702693223953247070e-01
-5.957946926355361938e-02,-5.890668183565139771e-02,5.066960453987121582e-01
-1.680036038160324097e-01,-5.574393644928932190e-02,4.758104383945465088e-01
-2.371686398983001709e-01,-5.372312664985656738e-02,3.859893381595611572e-01
-2.390342354774475098e-01,-5.366474390029907227e-02,2.726683616638183594e-01
-2.390342354774475098e-01,-5.366474390029907227e-02,2.726683616638183594e-01
-3.317523002624511719e-01,-5.097928270697593689e-02,2.798965871334075928e-01
-2.837214171886444092e-01,-5.238233879208564758e-02,3.911634087562561035e-01
-1.583749055862426758e-01,-5.602853372693061829e-02,4.297558665275573730e-01
-9.682592004537582397e-02,-5.782137438654899597e-02,4.133561551570892334e-01
-1.708334684371948242e-01,-5.566796287894248962e-02,4.290688037872314453e-01
-2.733146846294403076e-01,-5.268578976392745972e-02,3.971449732780456543e-01
-3.414503633975982666e-01,-5.070535093545913696e-02,3.076318502426147461e-01
-3.430770635604858398e-01,-5.066073313355445862e-02,1.944646388292312622e-01
-2.768590152263641357e-01,-5.258910357952117920e-02,1.026640236377716064e-01
-2.768590152263641357e-01,-5.258910357952117920e-02,1.026640236377716064e-01
-3.555976152420043945e-01,-5.030372366309165955e-02,5.315900593996047974e-02
-3.834791779518127441e-01,-4.949478432536125183e-02,1.711166352033615112e-01
-2.844037711620330811e-01,-5.237095803022384644e-02,2.882819175720214844e-01
-2.413275837898254395e-01,-5.362135544419288635e-02,3.014804422855377197e-01
-3.149387240409851074e-01,-5.147983506321907043e-02,2.692770361900329590e-01
-3.787021934986114502e-01,-4.962855577468872070e-02,1.820481866598129272e-01
-3.799155652523040771e-01,-4.959927126765251160e-02,6.957380473613739014e-02
-3.228086233139038086e-01,-5.150612071156501770e-02,-7.518736645579338074e-03
-2.626163065433502197e-01,-5.466580018401145935e-02,-5.754534620791673660e-03
-2.626163065433502197e-01,-5.466580018401145935e-02,-5.754534620791673660e-03
-3.290055394172668457e-01,-5.389678105711936951e-02,-1.781798340380191803e-02
-3.540084362030029297e-01,-5.363717675209045410e-02,-1.345278578810393810e-03
-3.571438491344451904e-01,-5.389306694269180298e-02,3.058933187276124954e-03
-3.699283003807067871e-01,-5.313884466886520386e-02,2.456551603972911835e-02
-3.698651492595672607e-01,-5.110960453748703003e-02,2.440008334815502167e-02
-3.698103427886962891e-01,-5.004633590579032898e-02,2.434044517576694489e-02
-3.683652281761169434e-01,-5.051016807556152344e-02,2.146275900304317474e-02
-3.260121643543243408e-01,-5.149788409471511841e-02,-2.386046573519706726e-03
-2.587589919567108154e-01,-5.389186367392539978e-02,2.867375966161489487e-03
-2.587589919567108154e-01,-5.389186367392539978e-02,2.867375966161489487e-03
-3.369909226894378662e-01,-4.648319631814956665e-02,-1.131119206547737122e-02
-3.541517853736877441e-01,-4.074237868189811707e-02,-1.236573589267209172e-04
-3.543215692043304443e-01,-3.982454538345336914e-02,4.424077633302658796e-04
-3.542992770671844482e-01,-3.994788601994514465e-02,3.896551788784563541e-04
-3.542737364768981934e-01,-4.010353609919548035e-02,3.393084043636918068e-04
-3.542401194572448730e-01,-4.031528532505035400e-02,2.900038671214133501e-04
-3.542151749134063721e-01,-4.045671969652175903e-02,2.272252022521570325e-04
-3.262777030467987061e-01,-4.947505518794059753e-02,-7.211364572867751122e-05
-2.586037516593933105e-01,-5.369549989700317383e-02,2.787562087178230286e-03
-2.586037516593933105e-01,-5.369549989700317383e-02,2.787562087178230286e-03
-2.172858417034149170e-01,-1.747372299432754517e-01,3.718900978565216064e-01
1.956924498081207275e-01,5.869556590914726257e-02,4.608381688594818115e-01
2.864258885383605957e-01,1.257821619510650635e-01,2.821442484855651855e-02
2.293788194656372070e-01,8.787611871957778931e-02,-4.625124111771583557e-02
2.767003476619720459e-01,1.217955946922302246e-01,-4.615332558751106262e-02
3.187118470668792725e-01,1.495726555585861206e-01,-3.139331936836242676e-02
3.277157247066497803e-01,1.546391099691390991e-01,-1.544966216897591949e-04
3.175068199634552002e-01,1.473030447959899902e-01,1.018363386392593384e-01
2.565442323684692383e-01,1.047091707587242126e-01,1.849483996629714966e-01
2.565442323684692383e-01,1.047091707587242126e-01,1.849483996629714966e-01
3.268971145153045654e-01,1.536361873149871826e-01,5.702525749802589417e-02
3.250643312931060791e-01,1.506802737712860107e-01,-9.196411818265914917e-03
2.440298348665237427e-01,8.922605216503143311e-02,-3.388238698244094849e-02
2.307507991790771484e-01,8.036293089389801025e-02,-3.522500768303871155e-02
2.781702280044555664e-01,1.196513101458549500e-01,-4.450990259647369385e-02
3.149046003818511963e-01,1.460713446140289307e-01,-3.477223217487335205e-02
3.258955776691436768e-01,1.548813879489898682e-01,9.716010536067187786e-04
3.150580227375030518e-01,1.454991996288299561e-01,1.022358462214469910e-01
2.588520050048828125e-01,1.061474233865737915e-01,1.810588836669921875e-01
2.588520050048828125e-01,1.061474233865737915e-01,1.810588836669921875e-01
3.361912965774536133e-01,1.612007617950439453e-01,1.762823462486267090e-01
3.364576399326324463e-01,1.615872234106063843e-01,4.093777760863304138e-02
2.555208802223205566e-01,1.004763394594192505e-01,-2.491469308733940125e-02
2.420860826969146729e-01,8.880563825368881226e-02,-2.786272205412387848e-02
2.945111989974975586e-01,1.260215938091278076e-01,-1.053985580801963806e-02
3.416543304920196533e-01,1.637700051069259644e-01,5.876545608043670654e-02
3.474026322364807129e-01,1.689567565917968750e-01,1.675331741571426392e-01
2.979837357997894287e-01,1.345845311880111694e-01,2.632055282592773438e-01
2.112062871456146240e-01,7.387265563011169434e-02,3.044773638248443604e-01
2.112062871456146240e-01,7.387265563011169434e-02,3.044773638248443604e-01
2.425414770841598511e-01,9.583020210266113281e-02,3.891108334064483643e-01
